Season,Age,Team,Lg,Pos,G,MP, ,FG_player Shooting %,2P_player Shooting %,3P_player Shooting %,eFG_player Shooting %,FT_player Shooting %,TS_player Shooting %,FTr_player Shooting %,3PAr_player Shooting %, ,FG_League Shooting %,2P_League Shooting %,3P_League Shooting %,eFG_League Shooting %,FT_League Shooting %,TS_League Shooting %,FTr_League Shooting %,3PAr_League Shooting %, ,FG+_League-Adjusted,2P+_League-Adjusted,3P+_League-Adjusted,eFG+_League-Adjusted,FT+_League-Adjusted,TS+_League-Adjusted,FTr+_League-Adjusted,3PAr+_League-Adjusted, ,FG Add,TS Add,Player_link
2018-19,21,CLE,NBA,SF,19,194,,.306,.385,.261,.389,1.000,.424,.111,.639,,.461,.519,.355,.524,.766,.560,.259,.359,,66,74,73,74,130,76,43,178,,-9.7,-10.3,https://www.basketball-reference.com/players/a/adelde01.html
2010-11,24,GSW,NBA,PF,23,196,,.426,.426,,.426,.579,.457,.352,.000,,.459,.487,.358,.498,.763,.541,.300,.222,,93,87,,85,76,84,117,,,-7.8,-10.5,https://www.basketball-reference.com/players/a/adrieje01.html
2011-12,25,HOU,NBA,PF,8,63,,.438,.438,,.438,.583,.493,.750,.000,,.448,.477,.349,.487,.752,.527,.276,.226,,98,92,,90,78,94,272,,,-1.6,-1.4,https://www.basketball-reference.com/players/a/adrieje01.html
2012-13,26,CHA,NBA,PF,52,713,,.429,.434,.000,.429,.650,.493,.595,.012,,.453,.483,.359,.496,.753,.535,.271,.243,,95,90,,86,86,92,220,5,,-22.8,-17.7,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,TOT,NBA,PF,53,961,,.520,.520,,.520,.639,.553,.433,.000,,.454,.488,.360,.501,.756,.541,.284,.260,,114,107,,104,84,102,152,,,10.4,7.9,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,CHA,NBA,PF,25,256,,.550,.550,,.550,.520,.559,.625,.000,,.454,.488,.360,.501,.756,.541,.284,.260,,121,113,,110,69,103,220,,,3.9,1.8,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,MIL,NBA,PF,28,705,,.515,.515,,.515,.670,.552,.400,.000,,.454,.488,.360,.501,.756,.541,.284,.260,,113,106,,103,89,102,141,,,6.5,6.0,https://www.basketball-reference.com/players/a/adrieje01.html
2014-15,28,MIN,NBA,PF,17,215,,.432,.432,,.432,.579,.494,.864,.000,,.449,.485,.350,.496,.750,.534,.273,.268,,96,89,,87,77,92,316,,,-5.6,-4.9,https://www.basketball-reference.com/players/a/adrieje01.html
2007-08,22,DET,NBA,SG,75,970,,.411,.461,.208,.432,.782,.494,.361,.199,,.457,.484,.362,.497,.755,.540,.306,.222,,90,95,58,87,103,91,118,90,,-31.8,-25.8,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,74,1234,,.437,.456,.402,.508,.817,.548,.237,.357,,.459,.485,.367,.500,.771,.544,.306,.224,,95,94,110,102,106,101,77,159,,5.1,2.4,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,82,2221,,.465,.488,.434,.557,.735,.576,.168,.426,,.461,.492,.355,.501,.759,.543,.300,.222,,101,99,122,111,97,106,56,192,,66.1,41.9,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,69,2324,,.498,.546,.423,.581,.847,.620,.260,.396,,.459,.487,.358,.498,.763,.541,.300,.222,,109,112,118,117,111,115,87,178,,104.1,110.4,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,62,2086,,.471,.504,.398,.534,.798,.584,.353,.316,,.448,.477,.349,.487,.752,.527,.276,.226,,105,106,114,110,106,111,128,140,,64.8,91.5,https://www.basketball-reference.com/players/a/afflaar01.html
2012-13,27,ORL,NBA,SF,64,2307,,.439,.489,.300,.478,.857,.527,.246,.265,,.453,.483,.359,.496,.753,.535,.271,.243,,97,101,84,96,114,99,91,109,,-32.5,-15.6,https://www.basketball-reference.com/players/a/afflaar01.html
2013-14,28,ORL,NBA,SG,73,2552,,.459,.473,.427,.522,.816,.574,.332,.297,,.454,.488,.360,.501,.756,.541,.284,.260,,101,97,119,104,108,106,117,114,,42.8,76.4,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,TOT,NBA,SG,78,2502,,.424,.466,.354,.491,.843,.533,.224,.377,,.449,.485,.350,.496,.750,.534,.273,.268,,94,96,101,99,112,100,82,140,,-8.7,-2.5,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,DEN,NBA,SG,53,1750,,.428,.481,.337,.490,.841,.533,.230,.370,,.449,.485,.350,.496,.750,.534,.273,.268,,95,99,96,99,112,100,84,138,,-7.6,-1.9,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,25,752,,.414,.423,.400,.493,.851,.533,.207,.397,,.449,.485,.350,.496,.750,.534,.273,.268,,92,87,114,99,113,100,76,148,,-1.1,-0.6,https://www.basketball-reference.com/players/a/afflaar01.html
2015-16,30,NYK,NBA,SG,71,2371,,.443,.469,.382,.500,.840,.531,.164,.298,,.452,.491,.354,.502,.757,.541,.276,.285,,98,95,108,100,111,98,59,105,,-4.0,-18.3,https://www.basketball-reference.com/players/a/afflaar01.html
2016-17,31,SAC,NBA,SG,61,1580,,.441,.457,.411,.514,.892,.559,.221,.359,,.457,.503,.357,.514,.772,.552,.271,.316,,96,91,115,100,116,101,82,114,,.5,5.8,https://www.basketball-reference.com/players/a/afflaar01.html
2017-18,32,ORL,NBA,SG,53,682,,.401,.413,.386,.485,.846,.516,.161,.432,,.460,.510,.362,.521,.767,.556,.252,.337,,87,81,107,93,110,93,64,128,,-11.9,-13.9,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,32,214,,.314,.309,.333,.350,.606,.408,.471,.214,,.458,.485,.358,.496,.752,.541,.327,.212,,69,64,93,71,81,75,144,101,,-20.5,-22.5,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,TOT,NBA,SG,26,165,,.323,.391,.158,.346,.500,.363,.185,.292,,.457,.484,.362,.497,.755,.540,.306,.222,,71,81,44,70,66,67,60,132,,-19.7,-24.9,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,DAL,NBA,SG,12,77,,.185,.263,.000,.185,.833,.253,.222,.296,,.457,.484,.362,.497,.755,.540,.306,.222,,41,54,,37,110,47,73,133,,-16.9,-17.0,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,NJN,NBA,SG,14,88,,.421,.481,.273,.461,.167,.443,.158,.289,,.457,.484,.362,.497,.755,.540,.306,.222,,92,99,75,93,22,82,52,130,,-2.8,-7.9,https://www.basketball-reference.com/players/a/agerma01.html
2008-09,24,NJN,NBA,SG,20,97,,.349,.405,.000,.349,.500,.365,.186,.140,,.459,.485,.367,.500,.771,.544,.306,.224,,76,84,,70,65,67,61,62,,-13.0,-16.6,https://www.basketball-reference.com/players/a/agerma01.html
2010-11,26,MIN,NBA,SG,4,29,,.545,.429,.750,.682,,.682,.000,.364,,.459,.487,.358,.498,.763,.541,.300,.222,,119,88,209,137,,126,,164,,4.0,3.1,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,MIA,NBA,PG,12,177,,.263,.217,.294,.351,.968,.495,.544,.597,,.457,.484,.362,.497,.755,.540,.306,.222,,58,45,81,71,128,92,178,268,,-16.7,-6.3,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,24,SAS,NBA,PG,3,19,,.333,.000,.500,.500,1.000,.581,.333,.667,,.459,.485,.367,.500,.771,.544,.306,.224,,73,,136,100,130,107,109,298,,.0,.5,https://www.basketball-reference.com/players/a/ahearbl01.html
2011-12,27,UTA,NBA,PG,4,30,,.286,.400,.222,.357,,.357,.000,.643,,.448,.477,.349,.487,.752,.527,.276,.226,,64,84,64,73,,68,,285,,-3.6,-4.8,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,20,CHA,NBA,PF,31,182,,.362,.373,.000,.362,.714,.430,.406,.029,,.459,.485,.367,.500,.771,.544,.306,.224,,79,77,,72,93,79,133,13,,-19.0,-18.5,https://www.basketball-reference.com/players/a/ajincal01.html
2009-10,21,CHA,NBA,C,6,30,,.500,.500,,.500,.000,.479,.100,.000,,.461,.492,.355,.501,.759,.543,.300,.222,,108,102,,100,,88,33,,,-0.0,-1.3,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOT,NBA,C,34,340,,.444,.475,.353,.489,.722,.507,.135,.256,,.459,.487,.358,.498,.763,.541,.300,.222,,97,97,98,98,95,94,45,115,,-2.6,-9.6,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,DAL,NBA,C,10,75,,.375,.360,.429,.422,.667,.435,.094,.219,,.459,.487,.358,.498,.763,.541,.300,.222,,82,74,120,85,87,80,31,99,,-4.9,-7.1,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOR,NBA,C,24,265,,.465,.513,.333,.510,.733,.530,.148,.267,,.459,.487,.358,.498,.763,.541,.300,.222,,101,105,93,102,96,98,50,121,,2.3,-2.5,https://www.basketball-reference.com/players/a/ajincal01.html
2013-14,25,NOP,NBA,C,56,951,,.546,.548,.000,.546,.836,.589,.269,.004,,.454,.488,.360,.501,.756,.541,.284,.260,,120,112,,109,111,109,95,2,,22.5,26.8,https://www.basketball-reference.com/players/a/ajincal01.html
2014-15,26,NOP,NBA,C,68,957,,.550,.550,,.550,.818,.595,.301,.000,,.449,.485,.350,.496,.750,.534,.273,.268,,123,113,,111,109,111,110,,,35.7,45.0,https://www.basketball-reference.com/players/a/ajincal01.html
