Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2009-10,26,NJN,NBA,PG,25,0,8.9,0.8,2.2,.357,0.4,1.3,.313,0.4,1.0,.417,.446,0.2,0.2,1.000,0.0,0.6,0.6,1.2,0.4,0.0,0.4,0.6,2.2,https://www.basketball-reference.com/players/q/quinnch01.html
2010-11,27,SAS,NBA,PG,41,0,7.1,0.8,2.2,.363,0.3,0.9,.297,0.5,1.3,.407,.423,0.1,0.2,.500,0.1,0.5,0.6,1.0,0.1,0.0,0.3,0.7,2.0,https://www.basketball-reference.com/players/q/quinnch01.html
2012-13,29,CLE,NBA,SG,7,0,11.1,0.6,2.3,.250,0.0,0.7,.000,0.6,1.6,.364,.250,0.3,0.3,1.000,0.1,0.1,0.3,1.3,0.4,0.0,0.9,0.6,1.4,https://www.basketball-reference.com/players/q/quinnch01.html
2017-18,20,MEM,NBA,PF,36,5,14.3,2.4,4.2,.566,0.0,0.0,,2.4,4.2,.566,.566,0.8,1.0,.806,1.5,2.9,4.4,0.9,0.3,0.4,1.0,1.5,5.6,https://www.basketball-reference.com/players/r/rabbiv01.html
2018-19,21,MEM,NBA,PF,49,13,14.7,2.4,4.3,.547,0.1,0.3,.200,2.3,4.0,.574,.554,1.0,1.4,.710,1.4,2.8,4.2,1.1,0.3,0.3,0.7,1.8,5.8,https://www.basketball-reference.com/players/r/rabbiv01.html
2013-14,26,MIL,NBA,C,48,2,9.7,1.4,2.6,.540,0.0,0.0,,1.4,2.6,.540,.540,0.9,1.1,.818,1.1,1.1,2.3,0.5,0.1,0.3,0.6,1.8,3.8,https://www.basketball-reference.com/players/r/radulmi01.html
2014-15,27,MIN,NBA,C,5,0,4.6,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,0.4,0.4,1.000,0.4,0.6,1.0,0.0,0.2,0.0,0.4,1.6,1.6,https://www.basketball-reference.com/players/r/radulmi01.html
2004-05,19,WAS,NBA,C,6,0,3.3,0.8,1.7,.500,0.0,0.0,,0.8,1.7,.500,.500,0.2,0.3,.500,0.2,0.5,0.7,0.0,0.0,0.2,0.5,0.7,1.8,https://www.basketball-reference.com/players/r/ramospe01.html
2016-17,23,TOT,NBA,PG,26,0,11.5,1.5,3.8,.408,0.6,1.8,.340,0.9,2.0,.471,.490,1.6,1.7,.953,0.2,1.0,1.2,1.3,0.3,0.1,0.7,1.5,5.3,https://www.basketball-reference.com/players/r/randlch01.html
2016-17,23,PHI,NBA,PG,8,0,9.3,1.5,3.3,.462,0.8,1.9,.400,0.8,1.4,.545,.577,1.5,1.5,1.000,0.0,0.6,0.6,0.8,0.4,0.1,0.4,1.4,5.3,https://www.basketball-reference.com/players/r/randlch01.html
2016-17,23,NYK,NBA,PG,18,0,12.5,1.6,4.0,.389,0.6,1.8,.313,1.0,2.2,.450,.458,1.6,1.7,.935,0.3,1.2,1.5,1.6,0.3,0.1,0.9,1.6,5.3,https://www.basketball-reference.com/players/r/randlch01.html
2018-19,25,WAS,NBA,PG,49,2,15.2,1.9,4.4,.419,0.9,2.3,.400,0.9,2.1,.441,.525,0.9,1.3,.694,0.2,0.9,1.1,2.0,0.5,0.1,0.9,1.9,5.5,https://www.basketball-reference.com/players/r/randlch01.html
2019-20,26,GSW,NBA,PG,3,0,13.3,0.0,1.3,.000,0.0,0.7,.000,0.0,0.7,.000,.000,1.7,2.0,.833,0.0,0.7,0.7,1.7,0.7,0.0,0.0,1.0,1.7,https://www.basketball-reference.com/players/r/randlch01.html
2014-15,20,LAL,NBA,PF,1,0,14.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,https://www.basketball-reference.com/players/r/randlju01.html
2015-16,21,LAL,NBA,PF,81,60,28.2,4.4,10.3,.429,0.1,0.4,.278,4.3,9.9,.436,.435,2.4,3.3,.715,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3.0,11.3,https://www.basketball-reference.com/players/r/randlju01.html
2016-17,22,LAL,NBA,PF,74,73,28.8,5.1,10.4,.488,0.2,0.9,.270,4.9,9.6,.507,.499,2.8,3.8,.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,https://www.basketball-reference.com/players/r/randlju01.html
2017-18,23,LAL,NBA,C,82,49,26.7,6.1,11.0,.558,0.1,0.5,.222,6.0,10.5,.575,.563,3.7,5.2,.718,2.2,5.8,8.0,2.6,0.5,0.5,2.6,3.3,16.1,https://www.basketball-reference.com/players/r/randlju01.html
2018-19,24,NOP,NBA,PF,73,49,30.6,7.8,14.9,.524,0.9,2.7,.344,6.9,12.2,.564,.555,4.9,6.7,.731,2.2,6.5,8.7,3.1,0.7,0.6,2.8,3.4,21.4,https://www.basketball-reference.com/players/r/randlju01.html
