Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2013-14,27,CHA,NBA,PF,25,256,14.9,.559,.000,.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,,0.4,0.5,0.9,.170,,-1.8,1.7,0.0,0.1,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,MIL,NBA,PF,28,705,18.4,.552,.000,.400,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,,1.2,0.6,1.8,.121,,0.6,-1.8,-1.2,0.1,https://www.basketball-reference.com/players/a/adrieje01.html
2014-15,28,MIN,NBA,PF,17,215,14.2,.494,.000,.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,,0.2,0.2,0.4,.087,,-1.9,-0.6,-2.4,0.0,https://www.basketball-reference.com/players/a/adrieje01.html
2007-08,22,DET,NBA,SG,75,970,10.2,.494,.199,.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,,0.5,1.4,1.9,.092,,-2.6,1.0,-1.5,0.1,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,74,1234,8.9,.548,.357,.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,,0.8,1.0,1.8,.069,,-2.8,0.2,-2.6,-0.2,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,82,2221,10.9,.576,.426,.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,,2.8,1.4,4.3,.092,,-0.2,-0.2,-0.4,0.9,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,69,2324,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,,4.8,1.4,6.2,.128,,1.7,-0.3,1.4,2.0,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,62,2086,14.7,.584,.316,.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,,4.7,0.6,5.3,.121,,1.4,-1.2,0.1,1.1,https://www.basketball-reference.com/players/a/afflaar01.html
2012-13,27,ORL,NBA,SF,64,2307,13.0,.527,.265,.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,,1.5,0.5,2.0,.042,,-1.1,-1.8,-2.9,-0.5,https://www.basketball-reference.com/players/a/afflaar01.html
2013-14,28,ORL,NBA,SG,73,2552,16.0,.574,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,,4.3,1.0,5.3,.099,,1.4,-1.6,-0.2,1.1,https://www.basketball-reference.com/players/a/afflaar01.html
