Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2013-14,27,TOT,NBA,PF,53,961,.520,5.5,,1.000,.560,.222,.098,.120,.000,,.520,.617,.426,.333,.394,,,.643,,,.109,27,,,,,0,0,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,CHA,NBA,PF,25,256,.550,3.0,,1.000,.825,.075,.100,.000,.000,,.550,.576,.667,.250,,,,.545,,,.075,3,,,,,0,0,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,MIL,NBA,PF,28,705,.515,5.9,,1.000,.515,.247,.098,.140,.000,,.515,.628,.414,.348,.394,,,.661,,,.115,24,,,,,0,0,https://www.basketball-reference.com/players/a/adrieje01.html
2014-15,28,MIN,NBA,PF,17,215,.432,5.3,,1.000,.523,.250,.114,.114,.000,,.432,.522,.273,.400,.400,,,.632,,,.068,2,,,,,0,0,https://www.basketball-reference.com/players/a/adrieje01.html
2007-08,22,DET,NBA,SG,75,970,.411,12.7,,.801,.332,.054,.129,.286,.199,,.461,.525,.308,.419,.435,.208,,.652,.800,,.008,2,,.458,.091,,1,0,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,74,1234,.437,15.8,,.643,.240,.023,.070,.310,.357,,.456,.625,.429,.333,.355,.402,,.534,.930,,.003,1,,.654,.429,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,82,2221,.465,15.3,,.574,.258,.056,.079,.181,.426,,.488,.550,.364,.391,.481,.434,,.543,.972,,.012,6,,.562,.436,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,69,2324,.498,14.8,,.604,.241,.132,.077,.155,.396,,.546,.662,.518,.500,.412,.423,,.565,1.000,,.002,1,,.581,.451,,1,0,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,62,2086,.471,13.5,,.684,.272,.142,.107,.163,.316,,.504,.684,.323,.373,.447,.398,,.689,.966,,.009,6,,.493,.450,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2012-13,27,ORL,NBA,SF,64,2307,.439,14.8,,.735,.175,.128,.202,.230,.265,,.489,.646,.414,.497,.404,.300,,.486,.958,,.006,4,,.304,.438,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2013-14,28,ORL,NBA,SG,73,2552,.459,16.1,,.703,.157,.081,.161,.304,.297,,.473,.591,.366,.509,.420,.427,,.530,.883,,.002,2,,.300,.489,,2,0,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,TOT,NBA,SG,78,2502,.424,16.3,,.623,.124,.136,.161,.202,.377,,.466,.573,.375,.486,.447,.354,,.549,.958,,.000,0,,.387,.341,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,DEN,NBA,SG,53,1750,.428,16.2,,.630,.117,.148,.170,.195,.370,,.481,.571,.361,.500,.500,.337,,.543,.976,,.000,0,,.383,.355,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,25,752,.414,16.7,,.604,.145,.101,.132,.225,.396,,.423,.576,.435,.433,.314,.400,,.569,.917,,.000,0,,.400,.306,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2015-16,30,NYK,NBA,SG,71,2371,.443,14.8,,.702,.115,.178,.193,.217,.298,,.469,.609,.458,.455,.416,.382,,.490,.912,,.003,2,,.424,.446,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2016-17,31,SAC,NBA,SG,61,1580,.440,16.8,,.640,.100,.117,.186,.236,.360,,.457,.571,.449,.449,.424,.411,,.504,.968,,.002,1,,.384,.517,,1,0,https://www.basketball-reference.com/players/a/afflaar01.html
2017-18,32,ORL,NBA,SG,53,682,.401,17.1,,.568,.093,.123,.154,.198,.432,,.413,.733,.450,.360,.281,.386,,.632,.926,,.000,0,,.414,.276,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,32,214,.314,12.8,,.786,.357,.043,.071,.314,.214,,.309,.280,.333,.000,.409,.333,,.235,.400,,.057,2,,.200,.000,,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,TOT,NBA,SG,26,165,.323,13.7,,.708,.338,.062,.046,.262,.292,,.391,.455,.250,.000,.412,.158,,.722,1.000,,.077,5,,.211,.250,,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,DAL,NBA,SG,12,77,.185,13.9,,.704,.296,.074,.111,.222,.296,,.263,.375,.500,.000,.167,.000,,.800,,,.074,2,,.000,,,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,NJN,NBA,SG,14,88,.421,13.6,,.711,.368,.053,.000,.289,.289,,.481,.500,.000,,.545,.273,,.692,1.000,,.079,3,,.364,.250,,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2008-09,24,NJN,NBA,SG,20,97,.349,11.2,,.860,.442,.023,.047,.349,.140,,.405,.632,.000,.000,.200,.000,,.467,,,.047,1,,.000,,,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2010-11,26,MIN,NBA,SG,4,29,.545,16.5,,.636,.182,.273,.000,.182,.364,,.429,1.000,.000,,.500,.750,,.000,.333,,.000,0,,.000,,,1,1,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,MIA,NBA,PG,12,177,.263,18.6,,.404,.140,.070,.088,.105,.596,,.217,.250,.500,.200,.000,.294,,.200,1.000,,.000,0,,.235,.375,,0,0,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,24,SAS,NBA,PG,3,19,.333,18.5,,.333,.167,.167,.000,.000,.667,,.000,.000,.000,,,.500,,,1.000,,.000,0,,.250,1.000,,0,0,https://www.basketball-reference.com/players/a/ahearbl01.html
2011-12,27,UTA,NBA,PG,4,30,.286,21.0,,.357,.000,.000,.214,.143,.643,,.400,,,.333,.500,.222,,.500,.500,,.000,0,,.556,.000,,0,0,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,20,CHA,NBA,PF,31,182,.362,13.3,,.971,.174,.159,.159,.478,.029,,.373,.417,.364,.273,.394,.000,,.720,,,.058,3,,.000,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
