Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2013-14,24,IND,NBA,PF,4,15,14.3,.500,.000,.000,8.2,31.5,20.1,11.8,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,.144,,0.8,-1.0,-0.2,0.0,https://www.basketball-reference.com/players/a/allenla01.html
2015-16,26,IND,NBA,PF,6,51,7.1,.300,.000,.000,9.7,21.0,15.7,6.2,1.1,1.6,9.1,10.4,,0.0,0.1,0.0,.031,,-2.1,-0.4,-2.4,0.0,https://www.basketball-reference.com/players/a/allenla01.html
2016-17,27,IND,NBA,PF,3,11,-2.6,,,,0.0,21.7,10.7,0.0,0.0,0.0,100.0,4.0,,0.0,0.0,0.0,-0.145,,-6.8,-1.9,-8.8,0.0,https://www.basketball-reference.com/players/a/allenla01.html
2004-05,23,BOS,NBA,SG,7,90,4.8,.451,.000,.389,5.5,10.9,8.2,3.8,1.9,2.0,19.2,14.2,,-0.1,0.1,0.0,.013,,-6.3,-0.3,-6.6,-0.1,https://www.basketball-reference.com/players/a/allento01.html
2007-08,26,BOS,NBA,SG,15,65,10.8,.549,.063,.313,2.0,3.8,2.9,8.2,1.7,0.0,5.2,14.2,,0.1,0.1,0.1,.100,,-2.2,1.0,-1.2,0.0,https://www.basketball-reference.com/players/a/allento01.html
2008-09,27,BOS,NBA,SG,10,60,7.9,.533,.000,.125,1.9,16.2,8.9,7.4,1.8,0.0,10.6,7.3,,0.0,0.1,0.1,.077,,-3.7,1.6,-2.1,0.0,https://www.basketball-reference.com/players/a/allento01.html
2009-10,28,BOS,NBA,SG,24,391,11.2,.536,.051,.367,4.2,8.5,6.4,7.4,3.4,3.1,16.8,16.7,,-0.1,0.9,0.8,.095,,-2.7,3.5,0.8,0.3,https://www.basketball-reference.com/players/a/allento01.html
2010-11,29,MEM,NBA,SG,13,350,10.7,.479,.069,.406,4.8,7.7,6.2,9.3,3.8,1.2,16.8,18.6,,-0.2,0.4,0.2,.030,,-3.1,2.2,-0.9,0.1,https://www.basketball-reference.com/players/a/allento01.html
2011-12,30,MEM,NBA,SG,7,170,9.9,.457,.111,.378,5.6,10.4,7.9,5.2,2.9,3.6,16.0,17.0,,-0.1,0.3,0.2,.056,,-2.8,2.7,-0.1,0.1,https://www.basketball-reference.com/players/a/allento01.html
2012-13,31,MEM,NBA,SG,15,422,17.7,.512,.064,.464,9.9,16.2,12.9,11.3,3.9,1.0,11.2,18.7,,0.6,0.7,1.3,.148,,0.4,3.9,4.2,0.7,https://www.basketball-reference.com/players/a/allento01.html
2013-14,32,MEM,NBA,SG,7,230,15.6,.529,.097,.292,10.7,15.8,13.1,7.6,2.8,0.4,12.9,18.6,,0.2,0.3,0.5,.097,,-0.1,2.2,2.1,0.2,https://www.basketball-reference.com/players/a/allento01.html
2014-15,33,MEM,NBA,SG,10,279,14.2,.530,.123,.211,5.4,15.3,10.3,8.3,4.5,3.6,17.3,12.3,,0.1,0.6,0.6,.111,,-1.2,5.1,3.9,0.4,https://www.basketball-reference.com/players/a/allento01.html
2015-16,34,MEM,NBA,SG,4,94,6.7,.387,.212,.394,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,,-0.2,0.0,-0.2,-0.103,,-4.1,-0.7,-4.8,-0.1,https://www.basketball-reference.com/players/a/allento01.html
2014-15,24,DAL,NBA,SF,5,150,20.4,.711,.355,.613,9.3,15.6,12.3,5.3,3.1,4.3,13.2,12.4,,0.5,0.1,0.6,.199,,4.4,3.1,7.5,0.4,https://www.basketball-reference.com/players/a/aminual01.html
