Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link, ,Trp Dbl
2014-15,24,CLE,NBA,SG,20,16,695,59,164,.360,33,93,.355,26,71,.366,.460,30,40,.750,23,75,98,23,25,16,13,50,181,https://www.basketball-reference.com/players/s/shumpim01.html,,
2015-16,25,CLE,NBA,SG,21,0,367,25,60,.417,13,34,.382,12,26,.462,.525,7,11,.636,10,37,47,17,10,3,13,36,70,https://www.basketball-reference.com/players/s/shumpim01.html,,
2016-17,26,CLE,NBA,SG,17,0,275,25,60,.417,10,26,.385,15,34,.441,.500,14,17,.824,6,41,47,16,10,3,6,32,74,https://www.basketball-reference.com/players/s/shumpim01.html,,
2018-19,28,HOU,NBA,SG,8,0,109,10,26,.385,8,22,.364,2,4,.500,.538,1,4,.250,1,11,12,2,1,0,3,10,29,https://www.basketball-reference.com/players/s/shumpim01.html,,
2016-17,22,TOR,NBA,PF,2,0,10,0,2,.000,0,0,,0,2,.000,.000,0,0,,2,1,3,1,1,0,0,1,0,https://www.basketball-reference.com/players/s/siakapa01.html,,
2017-18,23,TOR,NBA,PF,10,0,179,25,41,.610,3,4,.750,22,37,.595,.646,13,20,.650,9,27,36,8,1,6,7,27,66,https://www.basketball-reference.com/players/s/siakapa01.html,,
2018-19,24,TOR,NBA,PF,24,24,891,180,383,.470,29,104,.279,151,279,.541,.508,66,87,.759,40,131,171,66,25,17,33,67,455,https://www.basketball-reference.com/players/s/siakapa01.html,,
2019-20,25,TOR,NBA,PF,11,11,418,72,182,.396,10,53,.189,62,129,.481,.423,33,46,.717,14,69,83,42,12,4,22,33,187,https://www.basketball-reference.com/players/s/siakapa01.html,,
2011-12,24,PHI,NBA,SG,2,0,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,1,2,0,0,0,0,0,2,https://www.basketball-reference.com/players/s/silasxa01.html,,
2005-06,22,MIA,NBA,PF,2,0,7,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,0,1,0,0,0,1,1,0,https://www.basketball-reference.com/players/s/simiewa01.html,,
2017-18,21,PHI,NBA,PG,10,10,369,61,125,.488,0,1,.000,61,124,.492,.488,41,58,.707,16,78,94,77,17,8,44,34,163,https://www.basketball-reference.com/players/s/simmobe01.html,,1
2018-19,22,PHI,NBA,PG,12,12,421,72,116,.621,0,0,,72,116,.621,.621,23,40,.575,24,61,85,72,15,12,32,45,167,https://www.basketball-reference.com/players/s/simmobe01.html,,1
2015-16,26,SAS,NBA,SG,3,0,26,4,10,.400,2,3,.667,2,7,.286,.500,1,2,.500,3,1,4,2,2,0,1,4,11,https://www.basketball-reference.com/players/s/simmojo02.html,,
2016-17,27,SAS,NBA,SG,15,4,306,62,136,.456,13,37,.351,49,99,.495,.504,21,31,.677,9,19,28,29,9,2,11,30,158,https://www.basketball-reference.com/players/s/simmojo02.html,,
2018-19,29,PHI,NBA,SF,7,0,52,10,30,.333,2,10,.200,8,20,.400,.367,3,4,.750,2,7,9,2,1,0,6,2,25,https://www.basketball-reference.com/players/s/simmojo02.html,,
2018-19,19,POR,NBA,SG,5,0,12,0,7,.000,0,2,.000,0,5,.000,.000,4,5,.800,0,0,0,0,1,0,0,2,4,https://www.basketball-reference.com/players/s/simonan01.html,,
2019-20,20,POR,NBA,SG,4,0,82,8,26,.308,6,14,.429,2,12,.167,.423,5,6,.833,1,10,11,10,6,0,4,7,27,https://www.basketball-reference.com/players/s/simonan01.html,,
2015-16,27,OKC,NBA,SF,6,0,51,3,9,.333,2,4,.500,1,5,.200,.444,0,2,.000,1,6,7,0,1,0,0,4,8,https://www.basketball-reference.com/players/s/singlky01.html,,
2016-17,28,OKC,NBA,SF,1,0,10,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,2,0,https://www.basketball-reference.com/players/s/singlky01.html,,
2005-06,24,LAC,NBA,SF,7,0,12,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,3,3,2,0,0,0,3,2,https://www.basketball-reference.com/players/s/singlja01.html,,
2008-09,27,DAL,NBA,PF,9,0,42,5,10,.500,2,5,.400,3,5,.600,.600,0,2,.000,2,4,6,0,0,1,2,8,12,https://www.basketball-reference.com/players/s/singlja01.html,,
2013-14,26,IND,NBA,SG,4,0,15,2,7,.286,1,4,.250,1,3,.333,.357,2,4,.500,0,1,1,3,1,0,2,0,7,https://www.basketball-reference.com/players/s/sloando01.html,,
2014-15,20,BOS,NBA,PG,4,3,90,14,29,.483,3,13,.231,11,16,.688,.534,8,15,.533,5,6,11,5,1,1,4,12,39,https://www.basketball-reference.com/players/s/smartma01.html,,0
2015-16,21,BOS,NBA,PG,6,1,193,22,60,.367,11,32,.344,11,28,.393,.458,17,21,.810,8,19,27,18,10,5,15,17,72,https://www.basketball-reference.com/players/s/smartma01.html,,0
2016-17,22,BOS,NBA,SG,18,3,538,47,134,.351,29,73,.397,18,61,.295,.459,32,50,.640,23,62,85,85,27,16,38,51,155,https://www.basketball-reference.com/players/s/smartma01.html,,0
2017-18,23,BOS,NBA,SG,15,4,449,48,143,.336,15,68,.221,33,75,.440,.388,36,49,.735,14,42,56,80,26,10,36,44,147,https://www.basketball-reference.com/players/s/smartma01.html,,0
2018-19,24,BOS,NBA,SG,2,0,32,1,11,.091,1,11,.091,0,0,,.136,4,6,.667,4,0,4,4,3,0,3,3,7,https://www.basketball-reference.com/players/s/smartma01.html,,0
2019-20,25,BOS,NBA,SG,17,16,648,78,198,.394,41,123,.333,37,75,.493,.497,49,56,.875,10,79,89,78,21,8,45,55,246,https://www.basketball-reference.com/players/s/smartma01.html,,1
2012-13,22,HOU,NBA,C,5,1,59,6,9,.667,0,0,,6,9,.667,.667,6,12,.500,7,6,13,0,2,2,4,9,18,https://www.basketball-reference.com/players/s/smithgr02.html,,
2014-15,24,DAL,NBA,PF,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/s/smithgr02.html,,
2010-11,22,MEM,NBA,PG,5,0,10,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,2,2,2,1,0,1,1,4,https://www.basketball-reference.com/players/s/smithis01.html,,
2011-12,23,ORL,NBA,PG,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,1,0,0,0,https://www.basketball-reference.com/players/s/smithis01.html,,
2012-13,24,MIL,NBA,PG,4,0,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,3,0,0,1,1,0,https://www.basketball-reference.com/players/s/smithis01.html,,
2018-19,30,DET,NBA,PG,4,0,81,10,38,.263,1,7,.143,9,31,.290,.276,3,4,.750,1,10,11,14,3,1,4,8,24,https://www.basketball-reference.com/players/s/smithis01.html,,
2006-07,21,DEN,NBA,SG,4,0,47,6,22,.273,0,12,.000,6,10,.600,.273,6,6,1.000,1,8,9,2,4,1,3,6,18,https://www.basketball-reference.com/players/s/smithjr01.html,,
2007-08,22,DEN,NBA,SG,4,0,108,23,43,.535,7,22,.318,16,21,.762,.616,20,24,.833,1,6,7,7,4,0,5,12,73,https://www.basketball-reference.com/players/s/smithjr01.html,,
2008-09,23,DEN,NBA,SG,16,0,435,88,194,.454,38,106,.358,50,88,.568,.552,25,46,.543,11,42,53,45,17,4,26,51,239,https://www.basketball-reference.com/players/s/smithjr01.html,,
2009-10,24,DEN,NBA,SG,6,0,159,21,57,.368,11,31,.355,10,26,.385,.465,14,16,.875,5,18,23,10,4,2,6,17,67,https://www.basketball-reference.com/players/s/smithjr01.html,,
2010-11,25,DEN,NBA,SF,5,0,76,16,45,.356,9,21,.429,7,24,.292,.456,8,11,.727,1,9,10,5,2,0,8,8,49,https://www.basketball-reference.com/players/s/smithjr01.html,,
2011-12,26,NYK,NBA,SG,5,0,175,24,76,.316,5,28,.179,19,48,.396,.349,8,8,1.000,2,11,13,11,6,1,11,19,61,https://www.basketball-reference.com/players/s/smithjr01.html,,
2012-13,27,NYK,NBA,SG,11,0,351,54,163,.331,18,66,.273,36,97,.371,.387,31,43,.721,6,46,52,15,11,5,20,27,157,https://www.basketball-reference.com/players/s/smithjr01.html,,
2014-15,29,CLE,NBA,SG,18,4,560,83,206,.403,51,142,.359,32,64,.500,.527,14,20,.700,9,76,85,22,17,10,15,54,231,https://www.basketball-reference.com/players/s/smithjr01.html,,
2015-16,30,CLE,NBA,SG,21,21,730,82,188,.436,65,151,.430,17,37,.459,.609,13,21,.619,7,60,67,29,26,5,11,55,242,https://www.basketball-reference.com/players/s/smithjr01.html,,
2016-17,31,CLE,NBA,SG,18,18,487,50,99,.505,40,80,.500,10,19,.526,.707,5,11,.455,5,37,42,13,13,6,12,41,145,https://www.basketball-reference.com/players/s/smithjr01.html,,
2017-18,32,CLE,NBA,SG,22,21,706,65,187,.348,44,120,.367,21,67,.313,.465,17,22,.773,10,50,60,25,21,4,19,54,191,https://www.basketball-reference.com/players/s/smithjr01.html,,
2019-20,34,LAL,NBA,SG,10,0,75,7,26,.269,6,22,.273,1,4,.250,.385,0,0,,0,3,3,3,2,0,7,11,20,https://www.basketball-reference.com/players/s/smithjr01.html,,
2007-08,21,PHI,NBA,PF,6,0,82,8,18,.444,0,1,.000,8,17,.471,.444,4,4,1.000,4,11,15,3,1,5,2,5,20,https://www.basketball-reference.com/players/s/smithja02.html,,
2010-11,24,NOH,NBA,C,6,0,58,7,15,.467,0,0,,7,15,.467,.467,0,0,,1,6,7,1,2,0,0,11,14,https://www.basketball-reference.com/players/s/smithja02.html,,
2016-17,30,WAS,NBA,C,13,0,157,19,39,.487,3,10,.300,16,29,.552,.526,10,14,.714,10,19,29,4,2,7,10,30,51,https://www.basketball-reference.com/players/s/smithja02.html,,
2017-18,31,WAS,NBA,C,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/s/smithja02.html,,
2007-08,22,ATL,NBA,PF,7,7,237,35,88,.398,3,18,.167,32,70,.457,.415,37,44,.841,7,38,45,20,12,20,26,26,110,https://www.basketball-reference.com/players/s/smithjo03.html,,
2008-09,23,ATL,NBA,PF,11,11,410,67,159,.421,2,15,.133,65,144,.451,.428,52,71,.732,24,58,82,24,12,17,21,36,188,https://www.basketball-reference.com/players/s/smithjo03.html,,
2009-10,24,ATL,NBA,PF,11,11,392,62,129,.481,2,6,.333,60,123,.488,.488,29,44,.659,37,62,99,29,13,19,17,30,155,https://www.basketball-reference.com/players/s/smithjo03.html,,
2010-11,25,ATL,NBA,PF,12,12,438,69,171,.404,3,24,.125,66,147,.449,.412,40,67,.597,18,84,102,35,13,25,26,39,181,https://www.basketball-reference.com/players/s/smithjo03.html,,
2011-12,26,ATL,NBA,PF,5,5,196,34,88,.386,0,4,.000,34,84,.405,.386,16,21,.762,10,58,68,24,3,5,15,14,84,https://www.basketball-reference.com/players/s/smithjo03.html,,
2012-13,27,ATL,NBA,PF,6,6,199,39,90,.433,5,20,.250,34,70,.486,.461,19,36,.528,10,35,45,21,11,3,16,21,102,https://www.basketball-reference.com/players/s/smithjo03.html,,
2014-15,29,HOU,NBA,PF,17,8,396,85,194,.438,27,71,.380,58,123,.472,.508,32,74,.432,26,70,96,46,9,17,38,41,229,https://www.basketball-reference.com/players/s/smithjo03.html,,
2015-16,30,HOU,NBA,PF,4,0,38,6,13,.462,4,8,.500,2,5,.400,.615,0,2,.000,1,1,2,4,1,1,5,7,16,https://www.basketball-reference.com/players/s/smithjo03.html,,
2014-15,23,MEM,NBA,PG,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,2,0,0,0,0,0,https://www.basketball-reference.com/players/s/smithru01.html,,
2018-19,19,PHI,NBA,SG,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0,https://www.basketball-reference.com/players/s/smithzh01.html,,
2013-14,22,CHI,NBA,SG,5,0,46,2,9,.222,0,5,.000,2,4,.500,.222,0,0,,0,6,6,2,1,1,1,5,4,https://www.basketball-reference.com/players/s/snellto01.html,,
2014-15,23,CHI,NBA,SF,11,0,140,15,44,.341,9,27,.333,6,17,.353,.443,4,4,1.000,1,16,17,6,0,3,5,13,43,https://www.basketball-reference.com/players/s/snellto01.html,,
2016-17,25,MIL,NBA,SG,6,6,185,22,44,.500,16,31,.516,6,13,.462,.682,0,0,,2,12,14,9,1,1,2,17,60,https://www.basketball-reference.com/players/s/snellto01.html,,
2017-18,26,MIL,NBA,SG,7,2,134,7,24,.292,5,21,.238,2,3,.667,.396,0,0,,1,12,13,4,3,4,3,10,19,https://www.basketball-reference.com/players/s/snellto01.html,,
2018-19,27,MIL,NBA,SF,9,0,28,2,6,.333,1,2,.500,1,4,.250,.417,0,0,,1,1,2,0,1,1,0,3,5,https://www.basketball-reference.com/players/s/snellto01.html,,
2006-07,23,HOU,NBA,SF,3,0,9,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,1,1,0,0,0,1,0,2,https://www.basketball-reference.com/players/s/snydeki01.html,,
2003-04,25,SAC,NBA,PF,7,0,85,10,16,.625,0,0,,10,16,.625,.625,6,6,1.000,6,7,13,2,0,1,5,14,26,https://www.basketball-reference.com/players/s/songada01.html,,
2004-05,26,SAC,NBA,PF,5,0,75,8,19,.421,0,0,,8,19,.421,.421,4,5,.800,6,8,14,3,2,1,2,14,20,https://www.basketball-reference.com/players/s/songada01.html,,
2006-07,28,WAS,NBA,PF,4,0,90,20,41,.488,0,2,.000,20,39,.513,.488,3,3,1.000,5,8,13,4,3,0,4,17,43,https://www.basketball-reference.com/players/s/songada01.html,,
2007-08,29,WAS,NBA,C,5,0,77,8,19,.421,0,0,,8,19,.421,.421,13,15,.867,4,9,13,4,1,0,6,18,29,https://www.basketball-reference.com/players/s/songada01.html,,
2006-07,24,HOU,NBA,SG,1,0,3,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,0,1,1,1,0,0,0,0,4,https://www.basketball-reference.com/players/s/spanova01.html,,
2008-09,21,PHI,NBA,C,3,0,29,3,7,.429,0,0,,3,7,.429,.429,3,4,.750,3,3,6,0,0,0,0,5,9,https://www.basketball-reference.com/players/s/speigma01.html,,
2010-11,23,PHI,NBA,C,2,0,21,2,12,.167,0,0,,2,12,.167,.167,0,0,,1,5,6,1,0,1,0,4,4,https://www.basketball-reference.com/players/s/speigma01.html,,
2011-12,24,MEM,NBA,PF,7,0,100,20,41,.488,0,0,,20,41,.488,.488,6,10,.600,13,17,30,2,3,3,5,13,46,https://www.basketball-reference.com/players/s/speigma01.html,,
2013-14,26,GSW,NBA,C,7,0,68,19,36,.528,0,0,,19,36,.528,.528,6,12,.500,9,13,22,3,2,4,2,12,44,https://www.basketball-reference.com/players/s/speigma01.html,,
2014-15,27,GSW,NBA,C,10,0,67,14,42,.333,0,0,,14,42,.333,.333,9,15,.600,8,13,21,4,4,3,4,14,37,https://www.basketball-reference.com/players/s/speigma01.html,,
2015-16,28,GSW,NBA,C,24,0,201,46,118,.390,18,43,.419,28,75,.373,.466,24,31,.774,15,32,47,11,3,8,20,43,134,https://www.basketball-reference.com/players/s/speigma01.html,,
2016-17,29,LAC,NBA,C,7,2,98,16,37,.432,7,20,.350,9,17,.529,.527,7,10,.700,4,16,20,3,2,3,3,13,46,https://www.basketball-reference.com/players/s/speigma01.html,,
2010-11,26,SAS,NBA,C,3,0,50,10,16,.625,0,0,,10,16,.625,.625,0,3,.000,7,7,14,1,3,1,2,4,20,https://www.basketball-reference.com/players/s/splitti01.html,,
2011-12,27,SAS,NBA,C,13,0,168,30,47,.638,0,0,,30,47,.638,.638,16,43,.372,8,28,36,10,5,4,9,24,76,https://www.basketball-reference.com/players/s/splitti01.html,,
2012-13,28,SAS,NBA,PF,19,15,388,45,84,.536,0,1,.000,45,83,.542,.536,26,33,.788,21,37,58,23,15,14,24,46,116,https://www.basketball-reference.com/players/s/splitti01.html,,
2013-14,29,SAS,NBA,C,23,18,516,61,100,.610,0,1,.000,61,99,.616,.610,51,71,.718,45,95,140,46,16,11,18,53,173,https://www.basketball-reference.com/players/s/splitti01.html,,
2014-15,30,SAS,NBA,C,7,7,123,9,24,.375,0,0,,9,24,.375,.375,6,19,.316,13,18,31,9,4,1,7,17,24,https://www.basketball-reference.com/players/s/splitti01.html,,
2011-12,21,IND,NBA,SG,4,0,12,2,9,.222,1,2,.500,1,7,.143,.278,1,2,.500,0,0,0,1,0,0,2,2,6,https://www.basketball-reference.com/players/s/stephla01.html,,
2012-13,22,IND,NBA,SG,19,19,673,69,169,.408,18,64,.281,51,105,.486,.462,23,37,.622,14,130,144,63,23,2,36,47,179,https://www.basketball-reference.com/players/s/stephla01.html,,
2013-14,23,IND,NBA,SG,19,19,705,100,220,.455,24,67,.358,76,153,.497,.509,35,49,.714,24,107,131,80,16,4,46,55,259,https://www.basketball-reference.com/players/s/stephla01.html,,
2015-16,25,MEM,NBA,SF,4,0,95,23,44,.523,2,5,.400,21,39,.538,.545,4,5,.800,1,5,6,7,1,0,3,10,52,https://www.basketball-reference.com/players/s/stephla01.html,,
2016-17,26,IND,NBA,SG,4,0,107,27,53,.509,7,18,.389,20,35,.571,.575,3,4,.750,1,20,21,11,2,0,4,11,64,https://www.basketball-reference.com/players/s/stephla01.html,,
2017-18,27,IND,NBA,SG,7,0,149,30,65,.462,8,26,.308,22,39,.564,.523,5,9,.556,3,16,19,20,2,1,9,20,73,https://www.basketball-reference.com/players/s/stephla01.html,,
2011-12,26,BOS,NBA,C,19,0,143,12,18,.667,0,0,,12,18,.667,.667,4,6,.667,9,32,41,5,4,11,4,26,28,https://www.basketball-reference.com/players/s/stiemgr01.html,,
2014-15,29,TOR,NBA,C,1,0,2,2,2,1.000,0,0,,2,2,1.000,1.000,1,2,.500,0,0,0,0,0,0,0,0,5,https://www.basketball-reference.com/players/s/stiemgr01.html,,
2017-18,26,UTA,NBA,PG,2,0,6,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,0,0,0,0,1,2,https://www.basketball-reference.com/players/s/stockda01.html,,
2011-12,23,DEN,NBA,SG,2,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,2,0,0,0,0,2,https://www.basketball-reference.com/players/s/stoneju01.html,,
2012-13,24,DEN,NBA,PG,2,0,13,0,0,,0,0,,0,0,,,2,2,1.000,0,0,0,1,0,0,0,3,2,https://www.basketball-reference.com/players/s/stoneju01.html,,
2007-08,25,ATL,NBA,PG,3,0,28,4,9,.444,2,6,.333,2,3,.667,.556,2,2,1.000,0,1,1,0,1,0,3,2,12,https://www.basketball-reference.com/players/s/stoudsa01.html,,
2007-08,22,PHO,NBA,SG,1,0,5,0,4,.000,0,1,.000,0,3,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,https://www.basketball-reference.com/players/s/strawdj01.html,,
2007-08,21,DET,NBA,PG,17,2,380,43,116,.371,2,7,.286,41,109,.376,.379,51,58,.879,11,21,32,58,18,2,23,35,139,https://www.basketball-reference.com/players/s/stuckro01.html,,
2008-09,22,DET,NBA,PG,4,4,128,24,61,.393,0,8,.000,24,53,.453,.393,12,14,.857,2,7,9,21,0,0,6,9,60,https://www.basketball-reference.com/players/s/stuckro01.html,,
2015-16,29,IND,NBA,PG,7,0,125,17,43,.395,5,10,.500,12,33,.364,.453,5,9,.556,1,14,15,14,4,1,6,9,44,https://www.basketball-reference.com/players/s/stuckro01.html,,
2014-15,22,BOS,NBA,PF,4,0,80,21,38,.553,3,9,.333,18,29,.621,.592,4,7,.571,9,19,28,1,0,3,5,12,49,https://www.basketball-reference.com/players/s/sullija01.html,,
2015-16,23,BOS,NBA,PF,6,2,81,13,42,.310,2,4,.500,11,38,.289,.333,3,4,.750,10,17,27,7,1,0,6,16,31,https://www.basketball-reference.com/players/s/sullija01.html,,
2018-19,23,IND,NBA,PG,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,https://www.basketball-reference.com/players/s/sumneed01.html,,
2019-20,24,IND,NBA,SG,3,0,41,2,7,.286,0,3,.000,2,4,.500,.286,2,2,1.000,1,5,6,0,0,0,2,5,6,https://www.basketball-reference.com/players/s/sumneed01.html,,
2017-18,20,POR,NBA,PF,1,0,8,0,2,.000,0,1,.000,0,1,.000,.000,3,4,.750,0,2,2,1,0,0,1,1,3,https://www.basketball-reference.com/players/s/swanica01.html,,
2003-04,21,NYK,NBA,PF,4,0,57,6,11,.545,0,0,,6,11,.545,.545,4,6,.667,4,6,10,0,0,1,0,7,16,https://www.basketball-reference.com/players/s/sweetmi01.html,,
2005-06,23,CHI,NBA,C,6,6,120,14,34,.412,0,0,,14,34,.412,.412,15,19,.789,16,17,33,7,3,6,7,24,43,https://www.basketball-reference.com/players/s/sweetmi01.html,,
2006-07,24,CHI,NBA,C,1,0,3,1,2,.500,0,0,,1,2,.500,.500,0,2,.000,0,0,0,0,0,0,0,1,2,https://www.basketball-reference.com/players/s/sweetmi01.html,,
2010-11,22,ATL,NBA,SF,4,0,11,2,3,.667,0,0,,2,3,.667,.667,2,4,.500,1,0,1,3,1,0,1,1,6,https://www.basketball-reference.com/players/s/sypa01.html,,
2017-18,19,BOS,NBA,SF,19,19,683,123,261,.471,23,71,.324,100,190,.526,.515,82,97,.845,10,73,83,52,23,10,41,50,351,https://www.basketball-reference.com/players/t/tatumja01.html,,
2018-19,20,BOS,NBA,SF,9,9,295,49,112,.438,10,31,.323,39,81,.481,.482,29,39,.744,7,53,60,17,10,7,18,21,137,https://www.basketball-reference.com/players/t/tatumja01.html,,
2019-20,21,BOS,NBA,PF,17,17,690,145,334,.434,47,126,.373,98,208,.471,.504,100,123,.813,22,148,170,85,17,20,48,41,437,https://www.basketball-reference.com/players/t/tatumja01.html,,
2005-06,23,WAS,NBA,SG,1,0,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,1,0,0,0,0,https://www.basketball-reference.com/players/t/taylodo01.html,,
2006-07,24,WAS,NBA,SG,2,0,17,1,6,.167,0,0,,1,6,.167,.167,1,1,1.000,0,3,3,4,0,0,2,2,3,https://www.basketball-reference.com/players/t/taylodo01.html,,
2016-17,22,HOU,NBA,PG,3,0,10,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,1,2,1,0,0,0,1,0,https://www.basketball-reference.com/players/t/taylois01.html,,
2012-13,22,BRK,NBA,PG,2,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/t/tayloty01.html,,
2009-10,21,ATL,NBA,PG,9,0,59,7,21,.333,2,5,.400,5,16,.313,.381,0,0,,0,2,2,4,3,1,4,3,16,https://www.basketball-reference.com/players/t/teaguje01.html,,
2010-11,22,ATL,NBA,PG,8,6,238,37,72,.514,1,7,.143,36,65,.554,.521,19,23,.826,0,17,17,28,6,3,8,10,94,https://www.basketball-reference.com/players/t/teaguje01.html,,
2011-12,23,ATL,NBA,PG,6,6,225,30,73,.411,7,17,.412,23,56,.411,.459,17,19,.895,4,18,22,25,5,5,10,18,84,https://www.basketball-reference.com/players/t/teaguje01.html,,
2012-13,24,ATL,NBA,PG,6,6,213,27,81,.333,3,10,.300,24,71,.338,.352,23,28,.821,3,14,17,30,9,2,14,17,80,https://www.basketball-reference.com/players/t/teaguje01.html,,
2013-14,25,ATL,NBA,PG,7,7,242,44,112,.393,9,27,.333,35,85,.412,.433,38,40,.950,5,21,26,35,7,4,21,15,135,https://www.basketball-reference.com/players/t/teaguje01.html,,
2014-15,26,ATL,NBA,PG,16,16,529,98,239,.410,21,65,.323,77,174,.443,.454,52,60,.867,10,41,51,107,24,7,43,34,269,https://www.basketball-reference.com/players/t/teaguje01.html,,
2015-16,27,ATL,NBA,PG,10,10,279,46,121,.380,9,36,.250,37,85,.435,.417,44,52,.846,3,16,19,62,6,2,25,30,145,https://www.basketball-reference.com/players/t/teaguje01.html,,
2016-17,28,IND,NBA,PG,4,4,142,22,45,.489,9,17,.529,13,28,.464,.589,15,18,.833,0,13,13,25,4,3,8,12,68,https://www.basketball-reference.com/players/t/teaguje01.html,,
2017-18,29,MIN,NBA,PG,5,5,153,23,51,.451,7,18,.389,16,33,.485,.520,12,17,.706,3,15,18,29,3,2,14,19,65,https://www.basketball-reference.com/players/t/teaguje01.html,,
2012-13,19,CHI,NBA,PG,8,0,72,5,17,.294,0,5,.000,5,12,.417,.294,0,0,,0,3,3,12,2,1,2,10,10,https://www.basketball-reference.com/players/t/teaguma01.html,,
2012-13,27,BRK,NBA,PF,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/t/teletmi01.html,,
2013-14,28,BRK,NBA,SF,12,0,220,36,82,.439,19,56,.339,17,26,.654,.555,8,12,.667,15,25,40,3,5,2,5,14,99,https://www.basketball-reference.com/players/t/teletmi01.html,,
2014-15,29,BRK,NBA,PF,3,0,16,0,5,.000,0,4,.000,0,1,.000,.000,0,0,,0,4,4,0,1,0,1,1,0,https://www.basketball-reference.com/players/t/teletmi01.html,,
2016-17,31,MIL,NBA,PF,3,0,27,1,6,.167,1,4,.250,0,2,.000,.250,0,0,,0,3,3,0,1,0,1,3,3,https://www.basketball-reference.com/players/t/teletmi01.html,,
2009-10,23,SAS,NBA,SG,6,0,15,1,3,.333,1,3,.333,0,0,,.500,1,1,1.000,0,2,2,2,1,0,2,1,4,https://www.basketball-reference.com/players/t/templga01.html,,
2013-14,27,WAS,NBA,SG,10,0,9,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,0,0,0,0,0,0,1,5,5,https://www.basketball-reference.com/players/t/templga01.html,,
2014-15,28,WAS,NBA,SG,4,0,26,1,6,.167,0,3,.000,1,3,.333,.167,5,8,.625,1,2,3,1,2,0,3,4,7,https://www.basketball-reference.com/players/t/templga01.html,,
2018-19,32,LAC,NBA,SG,6,0,63,3,11,.273,1,7,.143,2,4,.500,.318,7,10,.700,1,6,7,2,3,1,2,8,14,https://www.basketball-reference.com/players/t/templga01.html,,
2019-20,33,BRK,NBA,SG,4,4,137,17,49,.347,9,36,.250,8,13,.615,.439,5,6,.833,0,11,11,8,3,1,6,12,48,https://www.basketball-reference.com/players/t/templga01.html,,
2012-13,25,OKC,NBA,C,4,0,26,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,5,6,0,1,0,2,7,2,https://www.basketball-reference.com/players/t/thabeha01.html,,
2013-14,26,OKC,NBA,C,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,4,0,https://www.basketball-reference.com/players/t/thabeha01.html,,
2018-19,26,BOS,NBA,C,7,0,42,5,14,.357,0,2,.000,5,12,.417,.357,2,2,1.000,4,6,10,0,1,1,1,4,12,https://www.basketball-reference.com/players/t/theisda01.html,,
2019-20,27,BOS,NBA,C,17,17,482,61,117,.521,4,26,.154,57,91,.626,.538,26,33,.788,32,89,121,25,6,21,15,66,152,https://www.basketball-reference.com/players/t/theisda01.html,,
2004-05,29,NJN,NBA,SF,2,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/t/thomabi01.html,,
2005-06,30,WAS,NBA,SG,3,0,14,0,7,.000,0,4,.000,0,3,.000,.000,2,4,.500,0,1,1,0,0,0,0,3,2,https://www.basketball-reference.com/players/t/thomabi01.html,,
2007-08,32,CLE,NBA,SF,3,0,8,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,1,1,0,0,0,3,https://www.basketball-reference.com/players/t/thomabi01.html,,
