Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link, ,Trp Dbl
2013-14,28,WAS,NBA,SF,11,11,407,52,108,.481,25,56,.446,27,52,.519,.597,21,27,.778,21,77,98,19,17,4,14,26,150,https://www.basketball-reference.com/players/a/arizatr01.html,,
2014-15,29,HOU,NBA,SF,17,17,655,75,176,.426,36,96,.375,39,80,.488,.528,38,42,.905,18,91,109,44,30,2,23,51,224,https://www.basketball-reference.com/players/a/arizatr01.html,,
2015-16,30,HOU,NBA,SF,5,5,181,13,51,.255,4,28,.143,9,23,.391,.294,3,4,.750,7,14,21,4,13,1,12,16,33,https://www.basketball-reference.com/players/a/arizatr01.html,,
2016-17,31,HOU,NBA,SF,11,11,413,41,97,.423,23,61,.377,18,36,.500,.541,13,14,.929,8,48,56,23,14,2,9,25,118,https://www.basketball-reference.com/players/a/arizatr01.html,,
2017-18,32,HOU,NBA,SF,17,17,582,50,139,.360,26,91,.286,24,48,.500,.453,23,31,.742,9,56,65,22,19,2,10,44,149,https://www.basketball-reference.com/players/a/arizatr01.html,,
2007-08,23,NOH,NBA,C,8,0,72,8,13,.615,0,0,,8,13,.615,.615,5,10,.500,9,11,20,0,0,6,4,12,21,https://www.basketball-reference.com/players/a/armsthi01.html,,
2008-09,24,NOH,NBA,C,4,1,53,6,13,.462,0,0,,6,13,.462,.462,3,10,.300,3,5,8,1,4,1,6,15,15,https://www.basketball-reference.com/players/a/armsthi01.html,,
2010-11,26,ATL,NBA,C,8,0,35,1,5,.200,0,0,,1,5,.200,.200,3,6,.500,4,6,10,1,3,0,2,7,5,https://www.basketball-reference.com/players/a/armsthi01.html,,
2013-14,29,GSW,NBA,C,7,0,17,4,8,.500,0,1,.000,4,7,.571,.500,0,2,.000,3,1,4,2,0,2,4,6,8,https://www.basketball-reference.com/players/a/armsthi01.html,,
2010-11,22,MEM,NBA,PF,13,0,201,39,85,.459,1,1,1.000,38,84,.452,.465,13,17,.765,14,15,29,7,7,12,12,30,92,https://www.basketball-reference.com/players/a/arthuda01.html,,
2012-13,24,MEM,NBA,PF,15,0,175,25,53,.472,0,2,.000,25,51,.490,.472,8,9,.889,14,24,38,6,2,4,7,36,58,https://www.basketball-reference.com/players/a/arthuda01.html,,
2010-11,24,CHI,NBA,C,15,0,148,6,13,.462,0,0,,6,13,.462,.462,3,10,.300,10,21,31,1,2,8,7,21,15,https://www.basketball-reference.com/players/a/asikom01.html,,
2011-12,25,CHI,NBA,C,6,3,128,7,14,.500,0,0,,7,14,.500,.500,6,17,.353,8,20,28,8,1,10,8,14,20,https://www.basketball-reference.com/players/a/asikom01.html,,
2012-13,26,HOU,NBA,C,6,6,208,22,39,.564,0,0,,22,39,.564,.564,30,47,.638,21,46,67,3,3,10,12,22,74,https://www.basketball-reference.com/players/a/asikom01.html,,
2013-14,27,HOU,NBA,C,6,4,163,16,33,.485,0,0,,16,33,.485,.485,3,3,1.000,21,28,49,4,3,4,11,29,35,https://www.basketball-reference.com/players/a/asikom01.html,,
2014-15,28,NOP,NBA,C,4,4,79,2,10,.200,0,0,,2,10,.200,.200,4,7,.571,12,17,29,6,5,0,5,10,8,https://www.basketball-reference.com/players/a/asikom01.html,,
2009-10,22,CHA,NBA,PG,4,0,73,5,17,.294,2,6,.333,3,11,.273,.353,5,6,.833,1,3,4,7,1,1,4,4,17,https://www.basketball-reference.com/players/a/augusdj01.html,,
2012-13,25,IND,NBA,PG,19,1,316,27,71,.380,19,48,.396,8,23,.348,.514,25,31,.806,2,13,15,13,7,0,10,26,98,https://www.basketball-reference.com/players/a/augusdj01.html,,
2013-14,26,CHI,NBA,PG,5,0,141,21,72,.292,7,26,.269,14,46,.304,.340,17,19,.895,4,4,8,24,3,0,9,16,66,https://www.basketball-reference.com/players/a/augusdj01.html,,
2018-19,31,ORL,NBA,PG,5,5,141,20,41,.488,10,21,.476,10,20,.500,.610,14,16,.875,1,7,8,19,2,1,7,7,64,https://www.basketball-reference.com/players/a/augusdj01.html,,
2019-20,32,ORL,NBA,PG,5,0,128,18,46,.391,8,17,.471,10,29,.345,.478,22,23,.957,0,10,10,30,1,0,12,6,66,https://www.basketball-reference.com/players/a/augusdj01.html,,
2007-08,23,ORL,NBA,PF,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,2,https://www.basketball-reference.com/players/a/augusja01.html,,
2012-13,27,MIL,NBA,C,3,0,7,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,0,0,0,0,0,0,0,4,https://www.basketball-reference.com/players/a/ayongu01.html,,
2009-10,22,POR,NBA,C,3,0,17,2,4,.500,0,0,,2,4,.500,.500,3,4,.750,2,0,2,0,2,3,1,1,7,https://www.basketball-reference.com/players/p/pendeje02.html,,
2011-12,24,IND,NBA,C,4,0,9,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,2,2,0,0,0,0,2,2,https://www.basketball-reference.com/players/p/pendeje02.html,,
2012-13,25,IND,NBA,PF,9,0,71,8,24,.333,0,1,.000,8,23,.348,.333,0,0,,4,14,18,1,0,2,3,14,16,https://www.basketball-reference.com/players/p/pendeje02.html,,
2013-14,26,SAS,NBA,PF,17,0,65,6,13,.462,0,0,,6,13,.462,.462,5,8,.625,6,13,19,5,0,0,1,6,17,https://www.basketball-reference.com/players/p/pendeje02.html,,
2014-15,27,SAS,NBA,PF,3,0,12,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,3,3,2,0,0,0,0,0,https://www.basketball-reference.com/players/p/pendeje02.html,,
2015-16,28,LAC,NBA,C,2,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,1,1,1.000,0,0,0,0,0,0,0,0,3,https://www.basketball-reference.com/players/p/pendeje02.html,,
2006-07,23,GSW,NBA,SG,6,0,15,1,3,.333,0,1,.000,1,2,.500,.333,2,2,1.000,1,3,4,0,1,0,0,1,4,https://www.basketball-reference.com/players/a/azubuke01.html,,
2011-12,28,DAL,NBA,SG,1,0,5,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,0,1,0,1,0,1,0,3,https://www.basketball-reference.com/players/a/azubuke01.html,,
2017-18,28,MIA,NBA,SF,2,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/b/babbilu01.html,,
