Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player_link
2019-20,21,BRK,NBA,C,4,4,132,4.9,8.4,.583,0.0,0.0,,4.9,8.4,.583,4.6,5.6,.813,6.0,14.8,20.7,3.2,0.7,2.5,3.9,2.5,14.4,,117,117,https://www.basketball-reference.com/players/a/allenja01.html
2011-12,22,PHI,NBA,PF,12,1,236,7.8,14.0,.557,0.0,0.0,,7.8,14.0,.557,1.6,2.8,.583,4.8,8.7,13.6,0.7,2.3,2.5,1.1,6.9,17.2,,116,95,https://www.basketball-reference.com/players/a/allenla01.html
2013-14,24,IND,NBA,PF,4,0,15,7.2,14.5,.500,0.0,0.0,,7.2,14.5,.500,0.0,0.0,,3.6,14.5,18.1,3.6,0.0,0.0,0.0,3.6,14.5,,119,105,https://www.basketball-reference.com/players/a/allenla01.html
2015-16,26,IND,NBA,PF,6,3,51,3.2,10.6,.300,0.0,0.0,,3.2,10.6,.300,0.0,0.0,,4.2,10.6,14.8,2.1,1.1,1.1,1.1,2.1,6.4,,85,102,https://www.basketball-reference.com/players/a/allenla01.html
2016-17,27,IND,NBA,PF,3,0,11,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.2,9.2,0.0,0.0,0.0,4.6,0.0,0.0,,0,123,https://www.basketball-reference.com/players/a/allenla01.html
2004-05,23,BOS,NBA,SG,7,3,90,5.0,11.2,.444,0.0,0.0,,5.0,11.2,.444,1.9,4.3,.429,2.5,5.0,7.5,1.2,1.9,1.2,3.1,10.6,11.8,,84,103,https://www.basketball-reference.com/players/a/allento01.html
2007-08,26,BOS,NBA,SG,15,0,65,7.7,13.7,.563,0.0,0.9,.000,7.7,12.9,.600,1.7,4.3,.400,0.9,1.7,2.6,2.6,1.7,0.0,0.9,4.3,17.2,,113,108,https://www.basketball-reference.com/players/a/allento01.html
2008-09,27,BOS,NBA,SG,10,0,60,3.5,7.0,.500,0.0,0.0,,3.5,7.0,.500,0.9,0.9,1.000,0.9,7.0,7.9,2.6,1.8,0.0,0.9,3.5,7.9,,111,107,https://www.basketball-reference.com/players/a/allento01.html
2009-10,28,BOS,NBA,SG,24,0,391,6.5,13.5,.480,0.0,0.7,.000,6.5,12.8,.505,3.9,5.0,.778,1.8,3.9,5.6,2.3,3.4,1.9,3.2,8.0,16.8,,98,99,https://www.basketball-reference.com/players/a/allento01.html
2010-11,29,MEM,NBA,SG,13,13,350,6.6,15.4,.426,0.2,1.1,.143,6.4,14.3,.447,4.1,6.2,.659,2.3,3.5,5.8,3.0,3.8,0.8,3.7,6.6,17.4,,92,104,https://www.basketball-reference.com/players/a/allento01.html
2011-12,30,MEM,NBA,SG,7,7,170,5.8,14.5,.400,0.0,1.6,.000,5.8,12.9,.450,3.9,5.5,.706,2.6,4.5,7.1,1.6,2.9,2.3,3.2,6.8,15.5,,91,99,https://www.basketball-reference.com/players/a/allento01.html
2012-13,31,MEM,NBA,SG,15,15,422,7.0,16.1,.432,0.3,1.0,.250,6.7,15.1,.444,5.7,7.5,.759,4.8,7.0,11.7,3.5,3.9,0.6,2.4,6.2,19.8,,109,100,https://www.basketball-reference.com/players/a/allento01.html
2013-14,32,MEM,NBA,SG,7,1,230,8.2,16.9,.486,0.0,1.6,.000,8.2,15.3,.538,3.8,4.9,.762,5.4,7.3,12.7,2.3,2.8,0.2,2.8,5.4,20.2,,106,106,https://www.basketball-reference.com/players/a/allento01.html
2014-15,33,MEM,NBA,SG,10,9,279,5.2,10.7,.491,0.2,1.3,.143,5.1,9.4,.540,1.7,2.2,.750,2.6,7.1,9.7,2.8,4.5,2.1,2.4,5.1,12.3,,101,97,https://www.basketball-reference.com/players/a/allento01.html
2015-16,34,MEM,NBA,SG,4,2,94,5.7,18.9,.303,0.6,4.0,.143,5.2,14.9,.346,5.2,7.5,.692,3.4,2.9,6.3,1.7,2.9,1.1,3.4,6.3,17.2,,81,115,https://www.basketball-reference.com/players/a/allento01.html
2014-15,24,DAL,NBA,SF,5,2,150,5.3,9.7,.548,2.2,3.5,.636,3.1,6.3,.500,4.7,6.0,.789,4.4,6.9,11.3,1.9,3.1,2.5,1.9,4.7,17.6,,138,106,https://www.basketball-reference.com/players/a/aminual01.html
2015-16,25,POR,NBA,SF,11,11,372,7.5,17.2,.438,3.8,9.4,.400,3.8,7.8,.483,2.8,3.9,.724,3.1,9.7,12.7,2.7,1.1,1.3,2.8,4.2,21.6,,110,109,https://www.basketball-reference.com/players/a/aminual01.html
2016-17,26,POR,NBA,PF,4,0,113,7.1,15.4,.459,2.9,7.1,.412,4.2,8.3,.500,2.9,4.6,.636,2.1,8.7,10.8,1.7,1.2,1.7,3.7,3.7,19.9,,100,116,https://www.basketball-reference.com/players/a/aminual01.html
2017-18,27,POR,NBA,PF,4,4,131,10.0,19.3,.519,4.8,11.1,.433,5.2,8.2,.636,0.7,0.7,1.000,4.5,8.9,13.4,1.9,1.5,0.7,2.2,3.0,25.6,,126,116,https://www.basketball-reference.com/players/a/aminual01.html
