Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2012-13,24,HOU,NBA,PG,6,5,200,5.0,11.7,.431,1.4,4.3,.333,3.6,7.4,.488,1.3,1.3,1.000,2.0,4.0,5.9,3.1,1.3,0.7,1.1,4.3,12.8,https://www.basketball-reference.com/players/b/beverpa01.html
2013-14,25,HOU,NBA,PG,6,6,202,3.4,8.9,.380,1.2,3.9,.318,2.1,5.0,.429,1.2,1.8,.700,2.3,2.1,4.5,2.0,0.5,0.4,0.7,3.7,9.3,https://www.basketball-reference.com/players/b/beverpa01.html
2015-16,27,HOU,NBA,PG,5,5,129,2.8,10.3,.270,0.8,3.9,.214,2.0,6.4,.304,1.7,1.7,1.000,1.1,5.0,6.1,3.1,0.6,0.6,1.1,4.7,8.1,https://www.basketball-reference.com/players/b/beverpa01.html
2016-17,28,HOU,NBA,SG,11,11,325,5.0,12.1,.413,2.3,5.8,.404,2.7,6.3,.421,1.2,1.6,.786,2.3,4.4,6.8,3.7,1.8,0.2,2.0,4.2,13.5,https://www.basketball-reference.com/players/b/beverpa01.html
2018-19,30,LAC,NBA,PG,6,6,195,3.7,8.7,.426,2.4,5.5,.433,1.3,3.1,.412,1.1,1.5,.750,1.5,7.4,8.9,5.2,1.1,1.1,1.8,3.9,10.9,https://www.basketball-reference.com/players/b/beverpa01.html
2019-20,31,LAC,NBA,PG,8,8,166,4.3,8.5,.513,1.7,4.8,.364,2.6,3.7,.706,0.4,0.9,.500,2.0,5.2,7.2,4.1,1.7,0.7,1.5,6.7,10.8,https://www.basketball-reference.com/players/b/beverpa01.html
2006-07,20,GSW,NBA,C,11,8,267,3.6,5.0,.730,0.0,0.0,,3.6,5.0,.730,2.2,4.0,.533,2.6,6.7,9.3,0.7,1.1,2.3,1.2,3.9,9.4,https://www.basketball-reference.com/players/b/biedran01.html
2012-13,26,GSW,NBA,C,3,0,17,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.2,10.6,14.8,2.1,0.0,4.2,2.1,12.7,0.0,https://www.basketball-reference.com/players/b/biedran01.html
2018-19,26,ORL,NBA,C,5,0,92,3.9,7.0,.556,0.0,0.0,,3.9,7.0,.556,2.3,2.7,.857,3.5,8.6,12.1,1.6,0.4,2.0,2.3,3.1,10.2,https://www.basketball-reference.com/players/b/birchkh01.html
2019-20,27,ORL,NBA,C,5,0,89,2.8,5.7,.500,0.0,0.0,,2.8,5.7,.500,4.0,4.4,.909,3.6,6.5,10.1,2.8,0.4,0.0,2.0,4.4,9.7,https://www.basketball-reference.com/players/b/birchkh01.html
2013-14,21,CHA,NBA,C,3,1,48,2.3,3.7,.600,0.0,0.0,,2.3,3.7,.600,1.5,4.5,.333,3.7,4.5,8.2,0.7,0.0,1.5,0.0,3.0,6.0,https://www.basketball-reference.com/players/b/biyombi01.html
2015-16,23,TOR,NBA,C,20,10,506,2.8,4.9,.580,0.0,0.0,,2.8,4.9,.580,3.1,5.1,.597,3.8,9.5,13.3,0.6,0.6,1.9,1.5,3.4,8.8,https://www.basketball-reference.com/players/b/biyombi01.html
2017-18,29,MIN,NBA,PF,5,0,47,5.4,12.3,.438,3.1,5.4,.571,2.3,6.9,.333,3.8,5.4,.714,3.1,8.4,11.5,2.3,2.3,0.0,0.8,4.6,17.6,https://www.basketball-reference.com/players/b/bjeline01.html
2017-18,26,HOU,NBA,C,7,0,19,1.9,7.6,.250,0.0,0.0,,1.9,7.6,.250,0.0,0.0,,3.8,7.6,11.4,3.8,0.0,1.9,1.9,9.5,3.8,https://www.basketball-reference.com/players/b/blackta01.html
2009-10,20,SAS,NBA,PF,10,0,91,6.3,12.7,.500,0.0,0.0,,6.3,12.7,.500,2.0,3.6,.556,7.5,7.9,15.4,2.0,2.0,1.6,0.8,7.1,14.6,https://www.basketball-reference.com/players/b/blairde01.html
2010-11,21,SAS,NBA,PF,4,0,50,5.0,15.1,.333,0.0,0.0,,5.0,15.1,.333,2.2,3.6,.600,6.5,2.9,9.4,1.4,0.0,0.7,1.4,4.3,12.2,https://www.basketball-reference.com/players/b/blairde01.html
2011-12,22,SAS,NBA,PF,10,0,76,8.1,12.8,.630,0.0,0.0,,8.1,12.8,.630,1.4,2.8,.500,3.3,7.6,10.9,0.9,1.4,0.5,0.5,4.7,17.5,https://www.basketball-reference.com/players/b/blairde01.html
2012-13,23,SAS,NBA,PF,12,0,76,9.9,16.1,.618,0.0,0.0,,9.9,16.1,.618,2.4,4.3,.556,2.8,8.5,11.4,3.3,2.4,0.5,0.5,6.6,22.3,https://www.basketball-reference.com/players/b/blairde01.html
