Season,Age,Tm,Lg,Pos,G,MP,PG%_Position Estimate,SG%_Position Estimate,SF%_Position Estimate,PF%_Position Estimate,C%_Position Estimate,OnCourt_+/- Per 100 Poss.,On-Off_+/- Per 100 Poss.,BadPass_Turnovers,LostBall_Turnovers,Shoot_Fouls Committed,Off._Fouls Committed,Shoot_Fouls Drawn,Off._Fouls Drawn,PGA_Misc.,And1_Misc.,Blkd_Misc.,Player_link
2006-07,22,DEN,NBA,SF,5,210,,10%,89%,1%,,-5.9,+6.4,7,2,0,7,13,0,14,2,4,https://www.basketball-reference.com/players/a/anthoca01.html
2007-08,23,DEN,NBA,SF,4,146,,41%,59%,,,-17.6,-16.4,4,4,5,3,12,1,18,1,7,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,24,DEN,NBA,SF,16,612,,3%,96%,1%,,+10.2,+3.2,14,11,24,8,60,6,143,12,25,https://www.basketball-reference.com/players/a/anthoca01.html
2009-10,25,DEN,NBA,SF,6,254,,,89%,11%,,+2.6,+36.4,2,8,7,8,25,0,50,3,11,https://www.basketball-reference.com/players/a/anthoca01.html
2010-11,26,NYK,NBA,SF,4,156,,8%,85%,8%,,-14.4,-25.9,6,4,6,2,13,0,42,5,7,https://www.basketball-reference.com/players/a/anthoca01.html
2011-12,27,NYK,NBA,SF,5,204,,1%,83%,15%,,-17.3,-6.3,5,5,13,3,18,1,27,4,7,https://www.basketball-reference.com/players/a/anthoca01.html
2012-13,28,NYK,NBA,PF,12,481,,,17%,83%,,+0.9,-13.9,4,10,13,13,38,5,49,7,16,https://www.basketball-reference.com/players/a/anthoca01.html
2017-18,33,OKC,NBA,PF,6,194,,,,80%,20%,-15.7,-33.4,4,1,9,1,5,0,5,0,1,https://www.basketball-reference.com/players/a/anthoca01.html
2019-20,35,POR,NBA,PF,5,176,,,24%,74%,2%,-18.0,-24.3,1,6,6,4,8,1,23,2,4,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,26,MIA,NBA,C,6,88,,,,,100%,+19.4,+24.5,0,1,5,0,0,1,4,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2009-10,27,MIA,NBA,C,5,79,,,,,100%,+7.3,+23.1,0,0,7,1,2,0,3,0,1,https://www.basketball-reference.com/players/a/anthojo01.html
2010-11,28,MIA,NBA,C,21,575,,,,,100%,+7.4,+9.8,2,4,29,6,14,2,23,1,8,https://www.basketball-reference.com/players/a/anthojo01.html
2011-12,29,MIA,NBA,C,17,329,,,,,100%,+5.4,-3.9,3,1,17,4,10,1,6,1,3,https://www.basketball-reference.com/players/a/anthojo01.html
2012-13,30,MIA,NBA,C,14,71,,,,18%,82%,-10.9,-19.4,0,0,9,2,0,0,0,0,2,https://www.basketball-reference.com/players/a/anthojo01.html
2016-17,34,SAS,NBA,C,3,15,,,,17%,84%,-12.6,-13.6,1,0,1,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2013-14,31,ATL,NBA,C,7,170,,,,,100%,+7.2,+19.2,3,3,11,1,1,0,14,0,4,https://www.basketball-reference.com/players/a/anticpe01.html
2014-15,32,ATL,NBA,C,15,199,,,,30%,70%,+0.8,+0.6,3,0,15,1,6,0,10,1,3,https://www.basketball-reference.com/players/a/anticpe01.html
2017-18,20,TOR,NBA,SF,10,238,,,67%,33%,,-4.6,-0.7,3,2,10,1,5,2,18,0,2,https://www.basketball-reference.com/players/a/anunoog01.html
2019-20,22,TOR,NBA,SF,11,393,,1%,73%,26%,,+3.4,-5.2,6,6,12,1,14,2,32,2,9,https://www.basketball-reference.com/players/a/anunoog01.html
2006-07,26,UTA,NBA,C,5,28,,,,,100%,+0.3,-0.9,0,0,4,0,4,0,2,0,1,https://www.basketball-reference.com/players/a/araujra01.html
2006-07,21,ORL,NBA,SG,4,47,,46%,54%,,,-15.0,-5.9,1,2,3,1,2,0,10,0,2,https://www.basketball-reference.com/players/a/arizatr01.html
2007-08,22,LAL,NBA,SF,8,45,,1%,82%,17%,,-21.6,-25.1,0,1,3,0,1,0,2,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2008-09,23,LAL,NBA,SF,23,722,,1%,98%,1%,,+7.7,-0.1,22,9,24,4,29,9,120,5,11,https://www.basketball-reference.com/players/a/arizatr01.html
2010-11,25,NOH,NBA,SF,6,241,,,98%,2%,,-8.6,+1.1,2,1,5,1,9,1,44,4,4,https://www.basketball-reference.com/players/a/arizatr01.html
