Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2008-09,28,NOH,NBA,PF,1,0,14:09,3,5,.600,0,0,,0,0,,1,3,0,1,0,0,2,6,https://www.basketball-reference.com/players/w/westda01.html
2010-11,22,OKC,NBA,PG,1,0,14:08,6,12,.500,0,1,.000,0,2,.000,3,5,2,0,0,0,1,12,https://www.basketball-reference.com/players/w/westbru01.html
2011-12,23,OKC,NBA,PG,1,0,27:31,10,17,.588,1,4,.250,0,2,.000,5,5,2,2,0,1,3,21,https://www.basketball-reference.com/players/w/westbru01.html
2012-13,24,OKC,NBA,PG,1,0,18:06,7,13,.538,0,3,.000,0,0,,2,4,3,1,0,2,1,14,https://www.basketball-reference.com/players/w/westbru01.html
2014-15,26,OKC,NBA,PG,1,0,25:33,16,28,.571,5,9,.556,4,4,1.000,3,5,1,3,0,1,0,41,https://www.basketball-reference.com/players/w/westbru01.html
2015-16,27,OKC,NBA,PG,1,1,22:11,12,23,.522,7,17,.412,0,0,,3,8,5,5,0,3,1,31,https://www.basketball-reference.com/players/w/westbru01.html
2016-17,28,OKC,NBA,PG,1,0,19:42,16,26,.615,7,13,.538,2,2,1.000,2,5,7,1,0,2,1,41,https://www.basketball-reference.com/players/w/westbru01.html
2017-18,29,OKC,NBA,PG,1,1,28:28,4,11,.364,1,6,.167,2,3,.667,3,8,8,0,0,2,2,11,https://www.basketball-reference.com/players/w/westbru01.html
2018-19,30,OKC,NBA,PG,1,0,19:20,8,20,.400,1,8,.125,0,0,,0,4,3,1,0,1,0,17,https://www.basketball-reference.com/players/w/westbru01.html
2019-20,31,HOU,NBA,PG,1,0,27:04,2,10,.200,0,4,.000,2,4,.500,2,3,3,0,0,1,0,6,https://www.basketball-reference.com/players/w/westbru01.html
2009-10,25,UTA,NBA,PG,1,0,28:01,6,11,.545,2,4,.500,0,0,,0,3,6,4,1,5,4,14,https://www.basketball-reference.com/players/w/willide01.html
2010-11,26,UTA,NBA,PG,1,0,17:53,2,7,.286,1,3,.333,0,0,,0,1,7,1,1,2,0,5,https://www.basketball-reference.com/players/w/willide01.html
2011-12,27,NJN,NBA,PG,1,0,18:08,8,11,.727,4,7,.571,0,0,,1,3,4,1,0,0,2,20,https://www.basketball-reference.com/players/w/willide01.html
2008-09,26,CLE,NBA,PG,1,0,16:42,5,10,.500,2,5,.400,0,0,,1,2,5,0,0,2,0,12,https://www.basketball-reference.com/players/w/willima01.html
2019-20,21,ATL,NBA,PG,1,1,15:45,4,10,.400,2,6,.333,0,0,,0,3,10,0,0,4,1,10,https://www.basketball-reference.com/players/y/youngtr01.html
