Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2015-16,34,MEM,NBA,SG,4,94,.303,11.0,,.788,.333,.242,.061,.152,.212,,.346,.273,.250,.000,.800,.143,,.778,1.000,,.000,0,,.286,.000,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2014-15,24,DAL,NBA,SF,5,150,.548,10.6,,.645,.355,.258,.032,.000,.355,,.500,.727,.250,.000,,.636,,.300,1.000,,.129,4,,.636,.571,,0,0,https://www.basketball-reference.com/players/a/aminual01.html
2015-16,25,POR,NBA,SF,11,372,.438,16.5,,.453,.242,.086,.031,.094,.547,,.483,.581,.455,.000,.417,.400,,.679,.964,,.063,8,,.414,.552,,0,0,https://www.basketball-reference.com/players/a/aminual01.html
2016-17,26,POR,NBA,PF,4,113,.459,14.8,,.541,.297,.108,.054,.081,.459,,.500,.636,.000,.000,1.000,.412,,.600,1.000,,.108,3,,.176,1.000,,0,0,https://www.basketball-reference.com/players/a/aminual01.html
2017-18,27,POR,NBA,PF,4,131,.519,16.1,,.423,.269,.077,.019,.058,.577,,.636,.714,.500,.000,.667,.433,,.357,1.000,,.077,3,,.233,.571,,0,0,https://www.basketball-reference.com/players/a/aminual01.html
2018-19,28,POR,NBA,PF,16,399,.349,13.8,,.532,.275,.202,.028,.028,.468,,.397,.500,.273,.333,.333,.294,,.609,1.000,,.064,6,,.549,.393,,0,0,https://www.basketball-reference.com/players/a/aminual01.html
2007-08,25,PHI,NBA,PF,2,10,.500,0.0,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,.000,,,.250,1,,,,,0,0,https://www.basketball-reference.com/players/a/amundlo01.html
2009-10,27,PHO,NBA,PF,16,194,.528,2.8,,1.000,.750,.083,.139,.028,.000,,.528,.556,.000,.600,1.000,,,.632,,,.167,6,,,,,0,0,https://www.basketball-reference.com/players/a/amundlo01.html
2011-12,29,IND,NBA,PF,11,94,.522,5.0,,1.000,.565,.174,.261,.000,.000,,.522,.615,.500,.333,,,,.833,,,.174,4,,,,,0,0,https://www.basketball-reference.com/players/a/amundlo01.html
2013-14,31,BRK,NBA,SF,12,261,.403,16.3,,.500,.194,.081,.129,.097,.500,,.516,.667,.400,.125,.833,.290,,.375,.778,,.000,0,,.516,.375,,0,0,https://www.basketball-reference.com/players/a/anderal01.html
2014-15,32,BRK,NBA,SG,6,142,.610,16.0,,.610,.220,.098,.122,.171,.390,,.600,.889,.250,.400,.571,.625,,.400,.900,,.024,1,,.438,.714,,1,0,https://www.basketball-reference.com/players/a/anderal01.html
2011-12,22,SAS,NBA,SG,8,31,.444,15.0,,.556,.333,.000,.000,.222,.444,,.400,.667,,,.000,.500,,.500,1.000,,.111,1,,.500,.000,,0,0,https://www.basketball-reference.com/players/a/anderja01.html
2012-13,23,HOU,NBA,SG,2,18,.200,15.2,,.400,.400,.000,.000,.000,.600,,.500,.500,,,,.000,,.000,,,.200,1,,.333,.000,,0,0,https://www.basketball-reference.com/players/a/anderja01.html
2015-16,22,DAL,NBA,SF,5,95,.459,11.8,,.649,.432,.054,.054,.135,.351,,.542,.625,1.000,.000,.200,.308,,.769,1.000,,.243,8,,.231,.333,,0,0,https://www.basketball-reference.com/players/a/anderju01.html
2017-18,24,PHI,NBA,SF,7,33,.375,21.1,,.125,.125,.000,.000,.000,.875,,1.000,1.000,,,,.286,,1.000,1.000,,.000,0,,.286,.500,,0,0,https://www.basketball-reference.com/players/a/anderju01.html
2019-20,26,BRK,NBA,SG,3,28,.417,23.5,,.083,.083,.000,.000,.000,.917,,.000,.000,,,,.455,,,.800,,.000,0,,.455,.400,,0,0,https://www.basketball-reference.com/players/a/anderju01.html
2015-16,22,SAS,NBA,SF,10,129,.320,11.9,,.880,.200,.280,.080,.320,.120,,.318,.800,.286,.500,.000,.333,,.286,1.000,,.040,1,,1.000,.333,,0,0,https://www.basketball-reference.com/players/a/anderky01.html
2016-17,23,SAS,NBA,SF,15,195,.563,9.0,,.844,.391,.234,.125,.063,.156,,.611,.760,.600,.625,.000,.300,,.485,.667,,.109,7,,.700,.286,,0,0,https://www.basketball-reference.com/players/a/anderky01.html
2017-18,24,SAS,NBA,SF,5,73,.600,9.5,,.800,.450,.300,.000,.050,.200,,.750,.889,.500,,1.000,.000,,.667,,,.050,1,,.750,.000,,1,0,https://www.basketball-reference.com/players/a/anderky01.html
2009-10,21,ORL,NBA,PF,9,89,.310,13.2,,.517,.448,.000,.034,.034,.483,,.333,.385,,.000,.000,.286,,.600,1.000,,.034,1,,.286,.500,,0,0,https://www.basketball-reference.com/players/a/anderry01.html
2010-11,22,ORL,NBA,PF,6,147,.267,17.5,,.333,.300,.033,.000,.000,.667,,.200,.222,.000,,,.300,,.000,.833,,.000,0,,.100,.000,,0,0,https://www.basketball-reference.com/players/a/anderry01.html
2011-12,23,ORL,NBA,PF,5,172,.341,19.3,,.318,.205,.000,.000,.114,.682,,.214,.222,,,.200,.400,,.667,1.000,,.000,0,,.433,.385,,0,0,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,26,NOP,NBA,PF,4,95,.444,14.6,,.667,.306,.056,.083,.222,.333,,.458,.364,.000,.333,.750,.417,,.636,1.000,,.028,1,,.000,,,0,0,https://www.basketball-reference.com/players/a/anderry01.html
2016-17,28,HOU,NBA,PF,11,336,.391,19.0,,.348,.217,.022,.065,.043,.652,,.594,.600,.500,.833,.250,.283,,.421,.941,,.022,2,,.183,.364,,0,0,https://www.basketball-reference.com/players/a/anderry01.html
2017-18,29,HOU,NBA,PF,11,95,.350,22.4,,.250,.050,.050,.050,.100,.750,,.400,1.000,.000,.000,.500,.333,,.000,1.000,,.000,0,,.200,1.000,,0,0,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,20,MIL,NBA,SG,6,201,.366,7.3,,.986,.465,.239,.056,.225,.014,,.371,.515,.235,.250,.250,.000,,.577,,,.014,1,,.000,,,0,0,https://www.basketball-reference.com/players/a/antetgi01.html
2016-17,22,MIL,NBA,SF,6,243,.536,7.5,,.911,.554,.161,.045,.161,.089,,.549,.629,.389,.400,.444,.400,,.464,.750,,.152,16,,.100,1.000,,0,0,https://www.basketball-reference.com/players/a/antetgi01.html
2017-18,23,MIL,NBA,PF,7,280,.570,8.6,,.884,.430,.190,.157,.107,.116,,.607,.769,.478,.474,.385,.286,,.431,1.000,,.165,18,,.000,,,1,0,https://www.basketball-reference.com/players/a/antetgi01.html
2018-19,24,MIL,NBA,PF,15,514,.492,9.0,,.790,.500,.187,.061,.042,.210,,.536,.718,.224,.125,.364,.327,,.459,.833,,.160,40,,.036,.000,,0,0,https://www.basketball-reference.com/players/a/antetgi01.html
2019-20,25,MIL,NBA,PF,9,277,.559,9.3,,.752,.503,.180,.037,.031,.248,,.636,.716,.483,.333,.600,.325,,.442,.538,,.211,33,,.025,1.000,,0,0,https://www.basketball-reference.com/players/a/antetgi01.html
2003-04,19,DEN,NBA,SF,4,143,.328,12.8,,.828,.281,.063,.172,.313,.172,,.358,.556,.250,.364,.200,.182,,.579,.500,,.063,4,,.000,,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2004-05,20,DEN,NBA,SF,5,180,.422,6.5,,.988,.578,.096,.108,.205,.012,,.427,.500,.250,.444,.294,.000,,.600,,,.024,2,,.000,,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2005-06,21,DEN,NBA,SF,5,193,.333,10.8,,.960,.323,.111,.131,.394,.040,,.347,.469,.364,.308,.256,.000,,.455,,,.030,3,,.250,.000,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2006-07,22,DEN,NBA,SF,5,210,.480,11.6,,.816,.327,.082,.194,.214,.184,,.475,.688,.125,.316,.429,.500,,.474,1.000,,.092,9,,.222,.500,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2007-08,23,DEN,NBA,SF,4,146,.364,9.4,,.909,.443,.102,.114,.250,.091,,.375,.410,.222,.400,.364,.250,,.467,1.000,,.034,2,,.125,.000,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,24,DEN,NBA,SF,16,612,.453,12.1,,.795,.351,.084,.115,.245,.205,,.477,.549,.556,.378,.392,.364,,.443,.833,,.053,16,,.091,.500,,2,0,https://www.basketball-reference.com/players/a/anthoca01.html
2009-10,25,DEN,NBA,SF,6,254,.464,11.4,,.862,.362,.051,.188,.261,.138,,.487,.560,.429,.462,.417,.316,,.276,.833,,.014,2,,.211,.250,,1,0,https://www.basketball-reference.com/players/a/anthoca01.html
2010-11,26,NYK,NBA,SF,4,156,.375,13.1,,.705,.352,.045,.136,.170,.295,,.387,.484,.000,.250,.400,.346,,.292,.667,,.034,3,,.154,.250,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2011-12,27,NYK,NBA,SF,5,204,.419,11.8,,.855,.282,.169,.161,.242,.145,,.453,.514,.286,.600,.400,.222,,.271,.250,,.032,3,,.167,.333,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2012-13,28,NYK,NBA,PF,12,481,.406,13.7,,.816,.219,.071,.284,.242,.184,,.431,.426,.409,.477,.387,.298,,.284,.706,,.035,10,,.140,.250,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2017-18,33,OKC,NBA,PF,6,194,.375,15.5,,.611,.139,.125,.208,.139,.389,,.477,.600,.444,.533,.300,.214,,.190,.667,,.028,2,,.071,.500,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2019-20,35,POR,NBA,PF,5,176,.412,16.6,,.721,.103,.074,.221,.324,.279,,.408,.571,.400,.333,.409,.421,,.300,.875,,.029,2,,.368,.571,,0,0,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,26,MIA,NBA,C,6,88,.800,3.6,,1.000,.600,.200,.200,.000,.000,,.800,1.000,1.000,.000,,,,.500,,,.200,1,,,,,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2009-10,27,MIA,NBA,C,5,79,.714,1.0,,1.000,1.000,.000,.000,.000,.000,,.714,.714,,,,,,.800,,,.286,2,,,,,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2010-11,28,MIA,NBA,C,21,575,.367,3.4,,1.000,.531,.449,.020,.000,.000,,.367,.538,.182,.000,,,,.667,,,.102,4,,,,,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2011-12,29,MIA,NBA,C,17,329,.586,4.1,,1.000,.483,.483,.034,.000,.000,,.586,.857,.357,.000,,,,.765,,,.138,3,,,,,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2012-13,30,MIA,NBA,C,14,71,.300,6.0,,1.000,.500,.200,.200,.100,.000,,.300,.200,.000,1.000,.000,,,.000,,,.000,0,,,,,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2016-17,34,SAS,NBA,C,3,15,.750,2.3,,1.000,.750,.250,.000,.000,.000,,.750,1.000,.000,,,,,1.000,,,.500,2,,,,,0,0,https://www.basketball-reference.com/players/a/anthojo01.html
2013-14,31,ATL,NBA,C,7,170,.167,18.4,,.405,.238,.024,.071,.071,.595,,.235,.200,.000,.000,.667,.120,,.750,1.000,,.000,0,,.080,.000,,0,0,https://www.basketball-reference.com/players/a/anticpe01.html
2014-15,32,ATL,NBA,C,15,199,.320,17.8,,.360,.280,.000,.040,.040,.640,,.278,.357,,.000,.000,.344,,.800,1.000,,.020,1,,.219,.714,,0,0,https://www.basketball-reference.com/players/a/anticpe01.html
2017-18,20,TOR,NBA,SF,10,238,.558,13.8,,.442,.385,.058,.000,.000,.558,,.696,.700,.667,,,.448,,.688,1.000,,.135,7,,.690,.400,,0,0,https://www.basketball-reference.com/players/a/anunoog01.html
2019-20,22,TOR,NBA,SF,11,393,.455,12.9,,.534,.420,.080,.023,.011,.466,,.489,.459,.429,1.000,1.000,.415,,.565,.941,,.125,10,,.585,.375,,0,0,https://www.basketball-reference.com/players/a/anunoog01.html
2006-07,26,UTA,NBA,C,5,28,.375,6.4,,1.000,.250,.500,.125,.125,.000,,.375,1.000,.250,.000,.000,,,.333,,,.000,0,,,,,0,0,https://www.basketball-reference.com/players/a/araujra01.html
2006-07,21,ORL,NBA,SG,4,47,.313,6.8,,1.000,.625,.000,.125,.250,.000,,.313,.400,,.000,.250,,,.600,,,.063,1,,,,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2007-08,22,LAL,NBA,SF,8,45,.583,13.3,,.667,.417,.000,.000,.250,.333,,.750,.800,,,.667,.250,,.667,1.000,,.167,2,,.750,.333,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2008-09,23,LAL,NBA,SF,23,722,.497,13.5,,.546,.357,.097,.027,.065,.454,,.515,.606,.278,.800,.250,.476,,.596,.950,,.108,17,,.357,.467,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2010-11,25,NOH,NBA,SF,6,241,.412,12.4,,.753,.235,.247,.071,.200,.247,,.438,.550,.429,.167,.412,.333,,.500,1.000,,.035,3,,.333,.571,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2013-14,28,WAS,NBA,SF,11,407,.481,16.1,,.481,.306,.046,.028,.102,.519,,.519,.606,.400,.333,.364,.446,,.556,1.000,,.056,6,,.250,.429,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2014-15,29,HOU,NBA,SF,17,655,.426,16.6,,.455,.256,.068,.011,.119,.545,,.488,.733,.167,.000,.190,.375,,.615,.972,,.097,16,,.313,.400,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2015-16,30,HOU,NBA,SF,5,181,.255,16.4,,.451,.196,.118,.098,.039,.549,,.391,.300,.500,.400,.500,.143,,.333,1.000,,.020,1,,.464,.154,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2016-17,31,HOU,NBA,SF,11,413,.423,16.2,,.371,.309,.062,.000,.000,.629,,.500,.567,.167,,,.377,,.722,.913,,.041,4,,.262,.188,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2017-18,32,HOU,NBA,SF,17,582,.360,16.7,,.345,.194,.144,.007,.000,.655,,.500,.593,.350,1.000,,.286,,.917,.923,,.036,5,,.385,.314,,0,0,https://www.basketball-reference.com/players/a/arizatr01.html
2007-08,23,NOH,NBA,C,8,72,.615,4.8,,1.000,.462,.385,.000,.154,.000,,.615,.833,.400,,.500,,,.250,,,.077,1,,,,,0,0,https://www.basketball-reference.com/players/a/armsthi01.html
2008-09,24,NOH,NBA,C,4,53,.462,5.0,,1.000,.692,.000,.154,.154,.000,,.462,.667,,.000,.000,,,.833,,,.385,4,,,,,0,0,https://www.basketball-reference.com/players/a/armsthi01.html
2010-11,26,ATL,NBA,C,8,35,.200,1.8,,1.000,.800,.200,.000,.000,.000,,.200,.250,.000,,,,,.000,,,.200,1,,,,,0,0,https://www.basketball-reference.com/players/a/armsthi01.html
2013-14,29,GSW,NBA,C,7,17,.500,8.0,,.875,.375,.375,.000,.125,.125,,.571,.667,.667,,.000,.000,,.750,,,.250,1,,.000,,,0,0,https://www.basketball-reference.com/players/a/armsthi01.html
2010-11,22,MEM,NBA,PF,13,201,.459,9.1,,.988,.329,.212,.212,.235,.012,,.452,.500,.389,.611,.300,1.000,,.711,1.000,,.106,6,,.000,,,0,0,https://www.basketball-reference.com/players/a/arthuda01.html
